Varname,Date,Index,N
GUNLAWNORC,4/15/91,82.32,611
GUNLAWNORC,2/15/93,78.53,312
GUNLAWNORC,4/15/93,84.12,743
GUNLAWNORC,1/15/94,73.68,19
GUNLAWNORC,2/15/94,77.5,911
GUNLAWNORC,3/15/94,75,8
GUNLAWNORC,4/15/94,81.47,966
GUNLAWNORC,5/15/94,71.7,53
GUNLAWNORC,2/15/96,81.41,866
GUNLAWNORC,3/15/96,70,10
GUNLAWNORC,4/15/96,82.68,912
GUNLAWNORC,5/15/96,82.98,94
GUNLAWNORC,2/15/98,83.57,712
GUNLAWNORC,3/15/98,83.33,6
GUNLAWNORC,4/15/98,83.84,947
GUNLAWNORC,5/15/98,83.72,129
GUNLAWNORC,6/15/98,76.74,43
GUNLAWNORC,2/15/00,78.4,449
GUNLAWNORC,3/15/00,85.71,14
GUNLAWNORC,4/15/00,82.41,1063
GUNLAWNORC,5/15/00,82.23,242
GUNLAWNORC,6/15/00,93.02,43
GUNLAWNORC,2/15/02,78.21,179
GUNLAWNORC,3/15/02,100,4
GUNLAWNORC,4/15/02,80.13,473
GUNLAWNORC,5/15/02,79.46,185
GUNLAWNORC,6/15/02,89.33,75
GUNLAWNORC,1/15/04,80,5
GUNLAWNORC,8/15/04,80,165
GUNLAWNORC,9/15/04,75.55,319
GUNLAWNORC,10/15/04,79.17,216
GUNLAWNORC,11/15/04,86.17,94
GUNLAWNORC,12/15/04,86.96,92
GUNLAWNORC,3/10/06,80.61,4510
GUNLAWNORC,5/15/08,78.77,1333
GUNLAWNORC,6/1/10,74.27,2043
GUNLAWNORC,6/1/12,73.58,1974
GUNLAWNORC,5/15/14,72.3,1693
GUNLAWY,9/20/83,52.69,1016
GUNLAWY,12/6/83,46.81,1000
GUNLAWY,9/11/84,58.62,1023
GUNLAWY,8/12/93,61.29,500
GUNSTRICTCBS,11/27/94,85.51,1120
GUNSTRICTCBS,8/1/99,91.43,1165
GUNSTRICTCBS,8/15/99,93.06,736
GUNSTRICTCBS,3/19/00,92.86,1221
GUNSTRICTCBS,5/10/00,95.95,947
GUNSTRICTCBS,8/4/00,93.94,1139
GUNSTRICTCBS,10/29/00,89.55,1396
GUNSTRICTCBS,10/27/02,83.58,1018
GUNSTRICTCBS,11/10/03,83.61,1177
GUNSTRICTCBS,4/20/07,92.65,1052
GUNSTRICTCBS,4/20/07,94.29,644
GUNSTRICTGALLUP,10/3/75,95.83,1558
GUNSTRICTGALLUP,1/4/80,90.77,1620
GUNSTRICTGALLUP,12/12/80,95.38,509
GUNSTRICTGALLUP,4/3/81,95.59,1545
GUNSTRICTGALLUP,4/22/81,93.94,1439
GUNSTRICTGALLUP,4/2/82,95.59,1543
GUNSTRICTGALLUP,5/13/83,93.65,1534
GUNSTRICTGALLUP,5/20/83,93.65,1534
GUNSTRICTGALLUP,4/11/86,88.24,1552
GUNSTRICTGALLUP,10/12/87,92.31,438
GUNSTRICTGALLUP,7/1/88,91.43,1000
GUNSTRICTGALLUP,12/17/93,93.51,1014
GUNSTRICTGALLUP,2/8/99,91.89,1054
HALLGUNS,9/1/67,70.21,1250
HALLGUNS,3/1/68,75.53,1634
HALLGUNS,10/6/75,75.26,1519
HALLGUNS,6/27/78,74.49,1500
HALLGUNS,3/23/89,81.44,1248
HALLGUNS,6/21/90,73.74,1254
HANDGUNGALLUP,4/2/82,68.75,1543
HANDGUNGALLUP,4/12/85,73.68,1525
HANDGUNGALLUP,9/10/90,82.65,1031
HANDGUNGALLUP,3/21/91,82.47,1010
HANDGUNGALLUP,12/17/93,81.82,1014
HANDGUNGALLUP,2/8/99,80.61,1054
HANDGUNGALLUP,1/13/00,73.74,1027
HANDGUNGALLUP,4/28/00,77.55,1003
HANDGUNS,11/15/96,46.46,1336
HANDGUNS,12/15/96,40.82,186
HANDGUNYANK,3/1/77,68.75,1004
HANDGUNYANK,3/19/80,62.89,1221
HANDGUNYANK,3/29/80,62.89,917
HANDGUNYANK,8/26/80,61.05,1644
HANDGUNYANK,5/12/81,62.24,1221
HANDGUNYANK,9/15/81,62.5,1222
HANDGUNYANK,7/23/85,62.5,1013
HANDGUNYANK,2/13/89,85.71,1014
HANDGUNYANK,12/15/89,74.23,605
HHANDGUN,1/15/71,68.75,1600
HHANDGUN,10/6/75,80.21,1519
HHANDGUN,11/22/75,80.21,1475
HHANDGUN,6/27/78,81.63,1500
HHANDGUN,6/13/79,79.59,1496
HHANDGUN,11/7/80,67.68,1199
HHANDGUN,4/6/81,67.68,1199
HHANDGUN,2/12/82,65.31,1253
HHANDGUN,3/11/82,65.31,1253
HHANDGUN,7/9/82,68.04,1250
HHANDGUN,4/4/84,65.98,1270
HHANDGUN,3/23/89,79.59,1248
HHANDGUN,6/21/90,73.74,1254
PEWGUN,12/2/93,62.64,1479
PEWGUN,12/15/93,62.64,0
PEWGUN,5/12/99,68.42,1179
PEWGUN,5/15/99,68.42,0
PEWGUN,6/9/99,65.26,1153
PEWGUN,6/15/99,65.26,0
PEWGUN,3/15/00,69.47,1184
PEWGUN,5/2/00,60,1303
PEWGUN,5/15/00,60,0
PEWGUN,6/4/03,56.25,1000
PEWGUN,6/15/03,56.25,0
PEWGUN,11/18/03,68.42,469
PEWGUN,2/11/04,65.17,1500
PEWGUN,2/15/04,61.05,0
PEWGUN,4/18/07,65.22,1508
PEWGUN,11/15/07,56.7,0
PEWGUN,4/23/08,61.05,1502
PEWGUN,3/31/09,52.13,3013
PEWGUN,3/10/10,50,1500
PEWGUN,8/25/10,52.08,3509
PEWGUN,1/13/11,48.42,1000
PEWGUN,2/22/11,49.47,1504
PEWGUN,9/22/11,51.04,2410
PEWGUN,4/4/12,47.87,3008
PEWGUN,7/26/12,50.54,1010
PEWGUN,12/17/12,54.95,1219
PEWGUN,1/9/13,53.19,1502
PEWGUN,1/10/13,53.13,1001
PEWGUN,2/13/13,52.08,1504
PEWGUN,5/1/13,51.02,1504
PEWGUN,1/23/14,48.98,3341
PEWGUN,1/23/14,49.48,10013
PEWGUN,12/3/14,47.42,1507
STRICTORC,5/4/07,84.75,1001
STRICTORC,4/3/09,72.22,1001
STRICTORC,1/14/13,55.56,814
STRICTORC,4/5/13,54.08,1012
STRICTORC,11/18/13,49.49,843
STRICTORCGALLUP,1/10/01,79.41,1004
STRICTORCGALLUP,1/13/03,60.71,1000
STRICTORCGALLUP,1/12/04,81.54,1004
STRICTORCGALLUP,1/3/05,81.25,1005
STRICTORCGALLUP,1/9/06,78.46,1003
STRICTORCGALLUP,1/15/07,77.78,1018
STRICTORCGALLUP,4/17/07,81.03,966
STRICTORCGALLUP,1/4/08,78.33,1023
STRICTORCGALLUP,2/8/08,81.67,1016
STRICTORCGALLUP,1/7/09,79.1,1015
STRICTORCGALLUP,1/5/12,75.95,1011
